RPM_MAIN,RPM_SMALL,thrust,torque,power_required,createdMoment,STALL_FACTOR,RPM_MAIN_bound,RPM_SMALL_bound, iterVel
400,10000,37.51129379301468,4.663741572221772,-346.3004013779036,-7.332693539242046,(0.0, 0.0, 0.0, 0.8421052631578947),(250, 650),(4000, 25000),0
400,17500.0,68.81495308181718,5.310796630715032,2133.226820618601,18.358159984267466,(0.0, 0.0, 0.0, 0.10526315789473684),(250, 650),(10000, 25000), 8
400,13750.0,41.99358650646574,4.7797744598477205,325.0086964752284,2.0988540360678756,(0.0, 0.0, 0.0, 0.5087719298245614),(250, 650),(10000, 17500.0),0
400,15625.0,44.99571278923415,4.831310134365722,1078.9646291832005,9.559388093810469,(0.0, 0.0, 0.0, 0.2807017543859649),(250, 650),(13750.0, 17500.0), 0
400,14687.5,43.38213240759736,4.80556223856177,671.1756492343459,5.695435361579245,(0.0, 0.0, 0.0, 0.3684210526315789),(250, 650),(13750.0, 15625.0),0
400,14687.5,43.38213240759736,4.80556223856177,671.1756492343459,5.695435361579245,(0.0, 0.0, 0.0, 0.3684210526315789),(250, 650),(13750.0, 15625.0), 0

525.0,14687.5,65.6662364559356,7.704065519456041,-337.2519402903448,-6.278509180105832,(0.0, 0.0, 0.0, 0.7017543859649122),(400, 650),(4000, 25000),0
525.0,19843.75,74.60859012692232,7.8588089851245595,2144.5463593531153,15.384009461037286,(0.0, 0.0, 0.0, 0.3333333333333333),(400, 650),(14687.5, 25000), 0
525.0,17265.625,69.8447608510659,7.786594533239089,582.8986127386264,3.0842095222948243,(0.0, 0.0, 0.0, 0.5614035087719298),(400, 650),(14687.5, 19843.75),0
525.0,18554.6875,72.20918078344388,7.824160664858095,1296.6736256758425,9.042556112380282,(0.0, 0.0, 0.0, 0.47368421052631576),(400, 650),(17265.625, 19843.75), 0
525.0,17910.15625,71.01329871739559,7.805655776958813,921.4572167212267,5.990212518932813,(0.0, 0.0, 0.0, 0.5263157894736842),(400, 650),(17265.625, 18554.6875),0
525.0,18232.421875,71.62024559596256,7.815154583144555,1106.6557696179473,7.520589341821323,(0.0, 0.0, 0.0, 0.49122807017543857),(400, 650),(17910.15625, 18554.6875), 0
525.0,18393.5546875,71.92569086212674,7.8203465926822915,1200.919903109888,8.28154674274547,(0.0, 0.0, 0.0, 0.49122807017543857),(400, 650),(18232.421875, 18554.6875),0
525.0,18393.5546875,71.92569086212674,7.8203465926822915,1200.919903109888,8.28154674274547,(0.0, 0.0, 0.0, 0.49122807017543857),(400, 650),(18232.421875, 18554.6875), 0

462.5,18393.5546875,60.012680936658256,6.294289447931672,1958.432192758894,15.411811330084008,(0.0, 0.0, 0.0, 0.24561403508771928),(400, 525.0),(4000, 25000),0
462.5,18393.5546875,60.012680936658256,6.294289447931672,1958.432192758894,15.411811330084008,(0.0, 0.0, 0.0, 0.24561403508771928),(400, 525.0),(4000, 25000), 0

