DP, DL, sigma, taper, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
DP0, 17.1887338539247, 0.07, 0.6993, 60.00955272811405, 5.348699792251481, 155.46917348137777, 33.445498155687936, 188.9146716370657, 158.9621986308876, 0.31765427326577195, 0.8414497257062096, 0.0, 0.0, 343.75, 17.19147050894356
DP1, 17.1887338539247, 0.07, 0.8547000000000001, 60.005532951948965, 5.48226602772429, 157.64544124958337, 33.09574682156001, 190.74118807114337, 158.94622662991745, 0.3145913767170616, 0.833308360072881, 0.0, 0.0, 338.671875, 17.190318927899327
DP2, 17.1887338539247, 0.08, 0.6993, 59.997969491775265, 5.5803463227742345, 156.19465830733412, 31.068116349384237, 187.26277465671836, 158.91617576179772, 0.3203945343742814, 0.8486266213512837, 0.0, 0.0, 326.26953125, 17.188152156166982
DP3, 17.1887338539247, 0.08, 0.8547000000000001, 60.00099298735767, 5.717415708021889, 158.27309140177513, 30.817229495934335, 189.09032089770946, 158.9281883785416, 0.31731393073163106, 0.8404882260711567, 0.0, 0.0, 321.58203125, 17.189018323848224
DP4, 17.1887338539247, 0.09, 0.6993, 60.00803505986707, 5.799195386780772, 156.9346385984417, 29.344149666581664, 186.27878826502337, 158.9561683320848, 0.32214099962091325, 0.8533240408775581, 0.0, 0.0, 312.20703125, 17.191035729017294
DP5, 17.1887338539247, 0.09, 0.8547000000000001, 59.991138954549704, 5.934750698202212, 158.82098216176703, 29.095384962666984, 187.91636712443403, 158.88903854444558, 0.3192438203896572, 0.8455305994673301, 0.0, 0.0, 307.763671875, 17.186195351392826
DP6, 19.098593171027442, 0.07, 0.6993, 59.99612181363001, 5.078484715181711, 164.08243855006606, 35.273062246946964, 199.355500797013, 167.504619558299, 0.30095042059922406, 0.840230737996314, 0.0, 0.0, 382.03125, 19.097358705965412
DP7, 19.098593171027442, 0.07, 0.8547000000000001, 60.00273035893878, 5.205980198276002, 166.41483594986937, 34.91052467502389, 201.32536062489328, 167.5322961559671, 0.2980386086119327, 0.832147006397823, 0.0, 0.0, 376.416015625, 19.099462271270482
DP8, 19.098593171027442, 0.08, 0.6993, 59.998543994098355, 5.299310270722573, 164.89010908822752, 32.775219439903175, 197.6653285281307, 167.514763476787, 0.30353600421917026, 0.8474665978305204, 0.0, 0.0, 362.646484375, 19.098129709954605
DP9, 19.098593171027442, 0.08, 0.8547000000000001, 59.99694513612539, 5.428854732014265, 167.0565616723735, 32.507403531857136, 199.56396520423064, 167.50806755102732, 0.3006401735640272, 0.8393703110659391, 0.0, 0.0, 357.421875, 19.09762077765521
DP10, 19.098593171027442, 0.09, 0.6993, 60.00452253855703, 5.506915296510953, 165.6616362015182, 30.95812961418943, 196.61976581570764, 167.53980206961646, 0.3051805208373581, 0.8521005066532938, 0.0, 0.0, 347.021484375, 19.100032739760792
DP11, 19.098593171027442, 0.09, 0.8547000000000001, 60.00708222004451, 5.637363403696961, 167.73438384452948, 30.707558855908985, 198.44194270043846, 167.55052258913068, 0.3023911245952135, 0.8443301870011398, 0.0, 0.0, 342.138671875, 19.10084751168374
DP12, 21.00845248813019, 0.07, 0.6993, 60.00242766429276, 4.846482777067081, 172.32298058644636, 37.02068445302858, 209.34366503947496, 175.7080249678, 0.2866216546508746, 0.8393281207466562, 0.0, 0.0, 420.361328125, 21.00930251262938
DP13, 21.00845248813019, 0.07, 0.8547000000000001, 60.00074478060706, 4.967507651629724, 174.7377700809064, 36.63574441893972, 211.37351449984612, 175.70063291450757, 0.28386122510467476, 0.8312329637431253, 0.0, 0.0, 414.16015625, 21.008713266263477
DP14, 21.00845248813019, 0.08, 0.6993, 59.99724969899832, 5.056907312353183, 173.1518721806548, 34.397797686761145, 207.54966986741596, 175.6852811273719, 0.2890741755326565, 0.8464734308640469, 0.0, 0.0, 399.0234375, 21.007489495331487
DP15, 21.00845248813019, 0.08, 0.8547000000000001, 59.99112839488843, 5.180163337223628, 175.40932063961816, 34.113842696788815, 209.52316333640698, 175.65839500489247, 0.2863221776513924, 0.8383721981271265, 0.0, 0.0, 393.26171875, 21.005346176555523
DP16, 21.00845248813019, 0.09, 0.6993, 60.00600468376998, 5.254827094873156, 173.9542548150443, 32.491966263727676, 206.44622107877197, 175.72373734192615, 0.2906616762961914, 0.8511840828264747, 0.0, 0.0, 381.8359375, 21.010554973358317
DP17, 21.00845248813019, 0.09, 0.8547000000000001, 60.00818152951919, 5.379212566467256, 176.12780563038257, 32.22909115705529, 208.35689678743785, 175.73329955845455, 0.28800669646533716, 0.8434244427134786, 0.0, 0.0, 376.46484375, 21.011317176033256
