disk loading,sigma_main,taper
17.1887338539247,0.07,0.6993
17.1887338539247,0.07,0.8547000000000001
17.1887338539247,0.08,0.6993
17.1887338539247,0.08,0.8547000000000001
17.1887338539247,0.09,0.6993
17.1887338539247,0.09,0.8547000000000001
19.098593171027442,0.07,0.6993
19.098593171027442,0.07,0.8547000000000001
19.098593171027442,0.08,0.6993
19.098593171027442,0.08,0.8547000000000001
19.098593171027442,0.09,0.6993
19.098593171027442,0.09,0.8547000000000001
21.00845248813019,0.07,0.6993
21.00845248813019,0.07,0.8547000000000001
21.00845248813019,0.08,0.6993
21.00845248813019,0.08,0.8547000000000001
21.00845248813019,0.09,0.6993
21.00845248813019,0.09,0.8547000000000001
