Zone,Pressure [N],Viscous [N],Total [N],Pressure Coefficient,Viscous Coefficient,Total Coefficient
wa--_m_te,-0.0016306564,0.0003802964,-0.00125036,-0.0026622961,0.00062089209,-0.0020414041
wall_m1,0.18433553,-0.00060611053,0.18372942,0.30095597,-0.00098956821,0.2999664
wall_m10,1.2680048,-0.00086259683,1.2671422,2.070212,-0.0014083213,2.0688036
wall_m11,1.3970815,-0.0006973951,1.3963841,2.2809493,-0.0011386042,2.2798107
wall_m12,1.5798785,-0.0014307913,1.5784477,2.5793935,-0.0023359858,2.5770575
wall_m13,1.7800107,-0.00050182161,1.7795089,2.90614,-0.00081930058,2.9053207
wall_m14,1.8102698,2.0453057e-05,1.8102903,2.9555426,3.3392746e-05,2.9555759
wall_m15,1.7597297,-0.0027647985,1.7569649,2.8730281,-0.0045139567,2.8685141
wall_m2,0.42752991,-0.00076145953,0.42676845,0.69800802,-0.0012431992,0.69676482
wall_m3,0.84778694,-0.0012610935,0.84652584,1.3841419,-0.0020589282,1.382083
wall_m4,1.4120589,-0.0018946018,1.4101643,2.3054024,-0.0030932275,2.3023091
wall_m5,2.0949528,-0.0024867871,2.092466,3.4203311,-0.0040600606,3.4162711
wall_m6,2.8697044,-0.0030376508,2.8666667,4.6852317,-0.0049594299,4.6802722
wall_m7,3.7115329,-0.0034668622,3.708066,6.0596455,-0.0056601831,6.0539853
wall_m8,1.078267,-0.00094023101,1.0773268,1.7604359,-0.001535071,1.7589009
wall_m9,1.1619844,-0.00093680019,1.1610476,1.8971174,-0.0015294697,1.8955879
wall_m_sides,-1.3032836e-16,-0.00044987769,-0.00044987769,-2.1278099e-16,-0.00073449419,-0.00073449419
Net,23.381497,-0.021698128,23.359799,38.173873,-0.035425516,38.138447
