r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,1.618015938290940170e+01,-1.836575913709270313e+00,-1.457772172906833807e+00,1.035241929991768615e+02,1.702283375321395759e-02,-5.007459444344553035e-02
1.890624999999999944e-02,-1.223262175571142762e+01,-7.716510222275084097e+00,1.008027009972376487e+00,-3.411932967024527841e+01,9.885841174637885129e-03,1.686252111514913860e-02
2.901041666666666352e-02,-2.677203220535323780e+01,-1.102161846645024390e+01,1.180258253924864054e+00,-4.035108941264726212e+01,2.555456002791086506e-02,6.830037901652748211e-02
3.911458333333332760e-02,-3.660975487976881482e+01,-1.281736373699444087e+01,1.234025402064806265e+00,-3.979535644115699711e+01,3.630964953811097878e-02,1.156330219756674382e-01
4.921874999999999167e-02,-4.299418680715361063e+01,-1.644424027147166001e+01,1.205487606087273456e+00,-3.452389753867529976e+01,5.130087277014284963e-02,1.484179454848531532e-01
5.932291666666666269e-02,-4.695630923720514005e+01,-2.195004749830301805e+01,1.133520506144366058e+00,-2.676412281178689767e+01,7.159247720835081041e-02,1.671087067138914417e-01
6.942708333333333370e-02,-4.970715220671329604e+01,-2.803561419013777112e+01,1.057256220799035251e+00,-1.875813749755439375e+01,9.225433876405136902e-02,1.767606137360033525e-01
7.953124999999999778e-02,-5.205375778160809830e+01,-3.406993602461605519e+01,9.912540554862704356e-01,-1.134012835004457287e+01,1.102764199983274213e-01,1.810704342755482255e-01
8.963541666666666186e-02,-5.459466852989166341e+01,-3.983103429823547970e+01,9.404943358403329290e-01,-4.795447008701422931e+00,1.242366961585011642e-01,1.824607084588936723e-01
9.973958333333332593e-02,-5.819783589416164205e+01,-4.522721400756829979e+01,9.101576521068388548e-01,5.790805700145966739e-01,1.657404031349735685e-01,2.250608404156715370e-01
1.098437499999999900e-01,-6.553132398548873994e+01,-5.043221249321257460e+01,9.148754270369789943e-01,3.945135614188579609e+00,3.214489508842999776e-01,4.293827991745835515e-01
1.199479166666666541e-01,-9.881534369821730479e+01,-5.812452077297158581e+01,1.039088439158291077e+00,4.646178953937010192e-01,2.182458270504107622e-01,3.950666346392143202e-01
